dbo.k60_tab.idnk39_k60  ->  dbo.k39_tab.idnk39_k39  [idnk39_k60, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k60_tab.idnk52_k60  ->  dbo.k52_tab.idnk52_k52  [idnk52_k60, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k62_tab.idnk61_k62  ->  dbo.k61_tab.idnk61_k61  [idnk61_k62_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k63_tab.idnk34_k63  ->  dbo.k34_tab.idnk34_k34  [idnk34_k63_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k63_tab.idnk62_k63  ->  dbo.k62_tab.idnk62_k62  [idnk62_k63_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k65_tab.idnk08_k65  ->  dbo.k08_tab.idnk08_k08  [idnk08_k65, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k65_tab.idnk64_k65  ->  dbo.k64_tab.idnk64_k64  [idnk64_k65, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k67_tab.idnk62_k67  ->  dbo.k62_tab.idnk62_k62  [idnk62_k67_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k69_tab.idnk52_k69  ->  dbo.k52_tab.idnk52_k52  [idnk52_k69_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k69_tab.idnk68_k69  ->  dbo.k68_tab.idnk68_k68  [idnk68_k69_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k70_tab.idnk11_k70  ->  dbo.k11_tab.idnk11_k11  [idnk11_k70, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k71_tab.idnk08_k71  ->  dbo.k08_tab.idnk08_k08  [idnk08_k71, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k71_tab.idnk13_k71  ->  dbo.k13_tab.idnk13_k13  [idnk13_k71, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k71_tab.idnk13_k71  ->  dbo.k13_tab.idnk13_k13  [idnk13_k71_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k72_tab.idncmp_k72  ->  dbo.k71_tab.idnk71_k71  [idncmp_k72_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k72_tab.idnnha_k72  ->  dbo.k71_tab.idnk71_k71  [idnnha_k72_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k73_tab.idnk71_k73  ->  dbo.k71_tab.idnk71_k71  [idnk71_k73_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k74_tab.idnk71_k74  ->  dbo.k71_tab.idnk71_k71  [idnk71_k74_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k74_tab.idnk73_k74  ->  dbo.k73_tab.idnk73_k73  [idnk73_k74_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k76_tab.idnk75_k76  ->  dbo.k75_tab.idnk75_k75  [idnk75_k76, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k79_tab.idnk31_k79  ->  dbo.k31_tab.idnk31_k31  [idnk31_k79, ondelete=NO_ACTION, onupdate=NO_ACTION]
